Category,Date,Type,Name,Detail,URL
Log,2026-05-07T00:29:27.609Z,success,connection-tracker,■ connection-tracker DONE | +0 accepted | total: 0/0 (0%),
Log,2026-05-07T00:29:27.604Z,info,connection-tracker,📋 pending invitations on page: 0,
Log,2026-05-07T00:29:17.046Z,info,connection-tracker,▶ connection-tracker started | https://www.linkedin.com/mynetwork/invitation-manager/sent/,
Log,2026-05-07T00:29:12.694Z,info,,Step 5/6 — Tracking accepted connections…,
Log,2026-05-07T00:29:12.672Z,warn,,[relationship-builder] timed out after 90 s — continuing sequence,
Log,2026-05-07T00:28:38.600Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/thamires-camacho/ | NUMEN — new_job,
Log,2026-05-07T00:28:38.597Z,warn,,"[Diag] no msg btn | card btns: """" aria=""Open reactions menu""",
Log,2026-05-07T00:28:28.596Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/larissa-souzaa-sena/ | Ibrowse Consultoria e Informática — new_job,
Log,2026-05-07T00:28:28.593Z,warn,,"[Diag] no msg btn | card btns: """" aria=""Open reactions menu""",
Log,2026-05-07T00:28:27.791Z,warn,,[relationship-builder] content script did not respond after 15 retries — skipping,
Log,2026-05-07T00:28:17.604Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/diego-volpe-vieira/ | GRUPO SEB — new_job,
Log,2026-05-07T00:28:17.600Z,warn,,"[Diag] no msg btn | card btns: """" aria=""Open reactions menu""",
Log,2026-05-07T00:28:06.608Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/kaio-andrade-694632186/ | PX Ativos Judiciais — new_job,
Log,2026-05-07T00:28:06.606Z,warn,,"[Diag] no msg btn | card btns: """" aria=""Open reactions menu""",
Log,2026-05-07T00:27:56.604Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/neesha-champ/ | NASA Jet Propulsion Laboratory — new_job,
Log,2026-05-07T00:27:56.601Z,warn,,"[Diag] no msg btn | card btns: ""Skip to main content"" aria="""" | """" aria=""Close jump menu"" | ""Home"" aria=""Home, 1 new notification"" | ""Me"" aria="""" | ""For Business"" aria=""For Business"" | """" aria=""Dismiss"" | ""Why am I seeing this ad?Manage"" aria=""Why am I seeing this ad?"" | ""Hide or report this adI don’t "" aria=""Hide or report this ad"" | """" aria=""Dismiss"" | ""Report this ad"" aria="""" | ""Submit"" aria="""" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu""",
Log,2026-05-07T00:27:47.181Z,info,,▶ relationship-builder started | https://www.linkedin.com/mynetwork/catch-up/job_changes/,
Log,2026-05-07T00:27:42.651Z,warn,,[relationship-builder] timed out after 90 s — continuing sequence,
Log,2026-05-07T00:27:20.547Z,warn,,[job-recruiter-harvester] content script did not respond after 15 retries — skipping,
Log,2026-05-07T00:27:08.596Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/felipeveronesi/ | Axihum Fertilizantes — anniversary,
Log,2026-05-07T00:27:08.593Z,warn,,"[Diag] no msg btn | card btns: """" aria=""Open reactions menu""",
