Category,Date,Type,Name,Detail,URL
Log,2026-05-08T13:19:02.130Z,success,recruiter-prospector,■ recruiter-prospector DONE | 0 sent / 121 checked,
Log,2026-05-08T13:19:02.127Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/shruti-verma-866aa676/ — no connect button (viewed),
Log,2026-05-08T13:19:02.121Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:18:45.130Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/shruti-verma-866aa676/
Log,2026-05-08T13:18:45.126Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/ajit-s-708a71231/ — no connect button (viewed),
Log,2026-05-08T13:18:45.120Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:18:28.131Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/ajit-s-708a71231/
Log,2026-05-08T13:18:28.128Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/ajit-s-708a71231/ — no connect button (viewed),
Log,2026-05-08T13:18:28.122Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:18:12.129Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/ajit-s-708a71231/
Log,2026-05-08T13:18:12.125Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/ajit-s-708a71231/ — no connect button (viewed),
Log,2026-05-08T13:18:12.119Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:17:55.129Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/ajit-s-708a71231/
Log,2026-05-08T13:17:55.126Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/harleen-kaur-uppal-197276333/ — no connect button (viewed),
Log,2026-05-08T13:17:55.120Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:17:40.122Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/harleen-kaur-uppal-197276333/
Log,2026-05-08T13:17:40.117Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/anusha-d-150bb028a/ — no connect button (viewed),
Log,2026-05-08T13:17:40.111Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:17:24.131Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/anusha-d-150bb028a/
Log,2026-05-08T13:17:24.128Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/michaelreynolds5/ — no connect button (viewed),
Log,2026-05-08T13:17:24.123Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:17:08.137Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/michaelreynolds5/
Log,2026-05-08T13:17:08.133Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/apparao-puli-592b5a252/ — no connect button (viewed),
Log,2026-05-08T13:17:08.125Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:16:51.136Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/apparao-puli-592b5a252/
Log,2026-05-08T13:16:51.130Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/jason-love-618057174/ — no connect button (viewed),
Log,2026-05-08T13:16:51.124Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:16:38.124Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/jason-love-618057174/
Log,2026-05-08T13:16:38.120Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/shivam-pandey-b967221a1/ — no connect button (viewed),
Log,2026-05-08T13:16:38.111Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:16:23.127Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/shivam-pandey-b967221a1/
Log,2026-05-08T13:16:23.124Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/monika-dahat-639a41228/ — no connect button (viewed),
Log,2026-05-08T13:16:23.118Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:16:07.121Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/monika-dahat-639a41228/
Log,2026-05-08T13:16:07.117Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/revathi-yalagala-889ab0247/ — no connect button (viewed),
Log,2026-05-08T13:16:07.113Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:15:49.129Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/revathi-yalagala-889ab0247/
Log,2026-05-08T13:15:49.125Z,info,recruiter-prospector,page 10/10 — 12 cards found,
Log,2026-05-08T13:15:44.128Z,info,recruiter-prospector,▶ page 10 — waiting for SPA render...,
Log,2026-05-08T13:15:39.124Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/aarthi-sharma-2350b7231/ — no connect button (viewed),
Log,2026-05-08T13:15:39.119Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:15:21.127Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/aarthi-sharma-2350b7231/
Log,2026-05-08T13:15:21.122Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/gowthami-shekar-85a322268/ — no connect button (viewed),
Log,2026-05-08T13:15:21.116Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:15:04.127Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/gowthami-shekar-85a322268/
Log,2026-05-08T13:15:04.124Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/taylor-b-19122195/ — no connect button (viewed),
Log,2026-05-08T13:15:04.117Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:14:48.122Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/taylor-b-19122195/
Log,2026-05-08T13:14:48.119Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/joseph-adam-64032221a/ — no connect button (viewed),
Log,2026-05-08T13:14:48.114Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:14:36.130Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/joseph-adam-64032221a/
Log,2026-05-08T13:14:36.127Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/mavuluri-prakyath-307911207/ — no connect button (viewed),
Log,2026-05-08T13:14:36.122Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:14:19.119Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/mavuluri-prakyath-307911207/
Log,2026-05-08T13:14:19.116Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/sushma-prasanna-647244233/ — no connect button (viewed),
Log,2026-05-08T13:14:19.110Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:14:03.133Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/sushma-prasanna-647244233/
Log,2026-05-08T13:14:03.130Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/muhammad-saif-ullah-55046a13a/ — no connect button (viewed),
Log,2026-05-08T13:14:03.123Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:13:46.132Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/muhammad-saif-ullah-55046a13a/
Log,2026-05-08T13:13:46.129Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/andrew-symonds-204735235/ — no connect button (viewed),
Log,2026-05-08T13:13:46.123Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:13:30.125Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/andrew-symonds-204735235/
Log,2026-05-08T13:13:30.118Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/paras-gupta-322372169/ — no connect button (viewed),
Log,2026-05-08T13:13:30.112Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:13:15.135Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/paras-gupta-322372169/
Log,2026-05-08T13:13:15.130Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/nalla-chandana-goud-695a89292/ — no connect button (viewed),
Log,2026-05-08T13:13:15.125Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:12:59.132Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/nalla-chandana-goud-695a89292/
Log,2026-05-08T13:12:59.127Z,info,recruiter-prospector,page 9/10 — 10 cards found,
Log,2026-05-08T13:12:52.133Z,info,recruiter-prospector,▶ page 9 — waiting for SPA render...,
Log,2026-05-08T13:12:47.129Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/vidhi-viswakarma-1024811b5/ — no connect button (viewed),
Log,2026-05-08T13:12:47.124Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:12:33.133Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/vidhi-viswakarma-1024811b5/
Log,2026-05-08T13:12:33.127Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/christiana-nwokocha/ — no connect button (viewed),
Log,2026-05-08T13:12:33.121Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:12:16.126Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/christiana-nwokocha/
Log,2026-05-08T13:12:16.122Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/chaitra-harsha-54b62523b/ — no connect button (viewed),
Log,2026-05-08T13:12:16.117Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:12:00.129Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/chaitra-harsha-54b62523b/
Log,2026-05-08T13:12:00.124Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/yunus-s-748a95163/ — no connect button (viewed),
Log,2026-05-08T13:12:00.117Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:11:46.133Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/yunus-s-748a95163/
Log,2026-05-08T13:11:46.130Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/ambika-akkivalli-a6516a30b/ — no connect button (viewed),
Log,2026-05-08T13:11:46.125Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:11:27.128Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/ambika-akkivalli-a6516a30b/
Log,2026-05-08T13:11:27.124Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/atul-kumar-baaa46242/ — no connect button (viewed),
Log,2026-05-08T13:11:27.117Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:11:12.128Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/atul-kumar-baaa46242/
Log,2026-05-08T13:11:12.124Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/utkarsh-kr-1a085461/ — no connect button (viewed),
Log,2026-05-08T13:11:12.118Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:10:55.129Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/utkarsh-kr-1a085461/
Log,2026-05-08T13:10:55.124Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/yashveer-singh-bb6b88243/ — no connect button (viewed),
Log,2026-05-08T13:10:55.119Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:10:41.120Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/yashveer-singh-bb6b88243/
Log,2026-05-08T13:10:41.117Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/tanusha-bejjam-1236371a0/ — no connect button (viewed),
Log,2026-05-08T13:10:41.112Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:10:27.130Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/tanusha-bejjam-1236371a0/
Log,2026-05-08T13:10:27.127Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/yukti-ramchandani/ — no connect button (viewed),
Log,2026-05-08T13:10:27.122Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:10:11.122Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/yukti-ramchandani/
Log,2026-05-08T13:10:11.118Z,info,recruiter-prospector,page 8/10 — 10 cards found,
Log,2026-05-08T13:10:04.131Z,info,recruiter-prospector,▶ page 8 — waiting for SPA render...,
Log,2026-05-08T13:10:00.118Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/kumari-bajpai-1806a720b/ — no connect button (viewed),
Log,2026-05-08T13:10:00.113Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:09:44.123Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/kumari-bajpai-1806a720b/
Log,2026-05-08T13:09:44.119Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/akshay-kumar-260522126/ — no connect button (viewed),
Log,2026-05-08T13:09:44.114Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:09:27.120Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/akshay-kumar-260522126/
Log,2026-05-08T13:09:27.117Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/komal-kumari-90a4611b4/ — no connect button (viewed),
Log,2026-05-08T13:09:27.112Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:09:11.136Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/komal-kumari-90a4611b4/
Log,2026-05-08T13:09:11.132Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/arti-ds/ — no connect button (viewed),
Log,2026-05-08T13:09:11.124Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:08:51.121Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/arti-ds/
Log,2026-05-08T13:08:51.118Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/justin-holshouser-35199199/ — no connect button (viewed),
Log,2026-05-08T13:08:51.111Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Link,2026-05-08T13:08:36.122Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/justin-holshouser-35199199/
