Category,Date,Type,Name,Detail,URL
Log,2026-05-05T22:37:50.477Z,success,,Daily routine complete. Cap used: 15. Window: US_EU.,
Log,2026-05-05T22:37:50.437Z,info,follow-up-sender,■ follow-up-sender DONE | no candidates ready,
Log,2026-05-05T22:37:50.429Z,info,follow-up-sender,📬 follow-up candidates: 0,
Log,2026-05-05T22:37:44.445Z,info,follow-up-sender,▶ follow-up-sender started | https://www.linkedin.com/messaging/thread/2-OWVlYTNhMDItMTZiNi00OTNiLTg1MTEtOTZhZWY2ZTA2NmY4XzEwMA==/,
Log,2026-05-05T22:37:39.523Z,info,,Step 6/6 — Sending follow-up messages to accepted connections (≥24h)…,
Log,2026-05-05T22:37:39.473Z,success,,"Auto-CSV export complete — 622 links, 0 accepted, 0 emails, 303 log entries → Downloads/link_ssi/output/",
Log,2026-05-05T22:37:39.428Z,success,connection-tracker,■ connection-tracker DONE | +0 accepted | total: 0/0 (0%),
Log,2026-05-05T22:37:39.421Z,info,connection-tracker,📋 pending invitations on page: 0,
Log,2026-05-05T22:37:23.204Z,info,connection-tracker,▶ connection-tracker started | https://www.linkedin.com/mynetwork/invitation-manager/sent/,
Log,2026-05-05T22:37:18.643Z,info,,Step 5/6 — Tracking accepted connections…,
Log,2026-05-05T22:37:18.606Z,warn,,[relationship-builder] timed out after 90 s — continuing sequence,
Link,2026-05-05T22:36:56.460Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/shaziya-khan-019490142/
Log,2026-05-05T22:36:56.446Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/james-budilovsky-514b1b97/ — no connect button (viewed),
Log,2026-05-05T22:36:56.430Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Log,2026-05-05T22:36:43.433Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/jennifer-hamid-18906a6a/ | Serasa Experian — new_job,
Log,2026-05-05T22:36:43.425Z,warn,,"[Diag] no msg btn | card btns: """" aria=""Open reactions menu""",
Log,2026-05-05T22:36:33.742Z,warn,,[relationship-builder] content script did not respond after 15 retries — skipping,
Log,2026-05-05T22:36:32.433Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/lucasfcneto/ | Yara International — new_job,
Log,2026-05-05T22:36:32.426Z,warn,,"[Diag] no msg btn | card btns: """" aria=""Open reactions menu""",
Log,2026-05-05T22:36:21.435Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/silmaraolivio/ | Ridge Talent Search — new_job,
Log,2026-05-05T22:36:21.426Z,warn,,"[Diag] no msg btn | card btns: """" aria=""Open reactions menu""",
Log,2026-05-05T22:36:12.434Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/thamires-camacho/ | NUMEN — new_job,
Log,2026-05-05T22:36:12.427Z,warn,,"[Diag] no msg btn | card btns: """" aria=""Open reactions menu""",
Log,2026-05-05T22:36:02.442Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/larissa-souzaa-sena/ | Ibrowse Consultoria e Informática — new_job,
Log,2026-05-05T22:36:02.436Z,warn,,"[Diag] no msg btn | card btns: ""Skip to main content"" aria="""" | """" aria=""Close jump menu"" | ""Home"" aria=""Home, 1 new notification"" | ""Me"" aria="""" | ""For Business"" aria=""For Business"" | """" aria=""Dismiss"" | ""Why am I seeing this ad?Manage"" aria=""Why am I seeing this ad?"" | ""Hide or report this adI don’t "" aria=""Hide or report this ad"" | """" aria=""Dismiss"" | ""Report this ad"" aria="""" | ""Submit"" aria="""" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu""",
Link,2026-05-05T22:35:56.449Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/pavan-vasarla-3942a7253/
Log,2026-05-05T22:35:56.437Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/anubhav-rastogi-12b778208/ — no connect button (viewed),
Log,2026-05-05T22:35:56.423Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Log,2026-05-05T22:35:53.055Z,info,,▶ relationship-builder started | https://www.linkedin.com/mynetwork/catch-up/job_changes/,
Log,2026-05-05T22:35:48.574Z,warn,,[relationship-builder] timed out after 90 s — continuing sequence,
Log,2026-05-05T22:35:09.434Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/felipeveronesi/ | Axihum Fertilizantes — anniversary,
Log,2026-05-05T22:35:09.427Z,warn,,"[Diag] no msg btn | card btns: """" aria=""Open reactions menu""",
Log,2026-05-05T22:35:03.723Z,warn,,[relationship-builder] content script did not respond after 15 retries — skipping,
Log,2026-05-05T22:35:00.436Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/nathalia-villani-821b76150/ | Faber-Castell Brasil — anniversary,
Log,2026-05-05T22:35:00.429Z,warn,,"[Diag] no msg btn | card btns: """" aria=""Open reactions menu""",
Link,2026-05-05T22:34:56.451Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/yiding-wang-826893178/
Log,2026-05-05T22:34:56.442Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/nikhil-pansuriya-809329234/ — no connect button (viewed),
Log,2026-05-05T22:34:56.433Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Log,2026-05-05T22:34:51.436Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/rubens-bardelli-jr-a6ab5b2/ | Secretaria da Fazenda do RS — anniversary,
Log,2026-05-05T22:34:51.429Z,warn,,"[Diag] no msg btn | card btns: """" aria=""Open reactions menu""",
Log,2026-05-05T22:34:41.438Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/bruno-sahb/ | Stefanini Brasil — anniversary,
Log,2026-05-05T22:34:41.431Z,warn,,"[Diag] no msg btn | card btns: """" aria=""Open reactions menu""",
Log,2026-05-05T22:34:31.438Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/ademir-souza-98587014/ | Toyota do Brasil — anniversary,
Log,2026-05-05T22:34:31.432Z,warn,,"[Diag] no msg btn | card btns: ""Skip to main content"" aria="""" | """" aria=""Close jump menu"" | ""Home"" aria=""Home, 1 new notification"" | ""Me"" aria="""" | ""For Business"" aria=""For Business"" | """" aria=""Dismiss"" | ""Why am I seeing this ad?Manage"" aria=""Why am I seeing this ad?"" | ""Hide or report this adI don’t "" aria=""Hide or report this ad"" | """" aria=""Dismiss"" | ""Report this ad"" aria="""" | ""Submit"" aria="""" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu""",
Log,2026-05-05T22:34:23.438Z,info,,▶ relationship-builder started | https://www.linkedin.com/mynetwork/catch-up/work_anniversaries/,
Log,2026-05-05T22:34:18.547Z,warn,,[relationship-builder] timed out after 90 s — continuing sequence,
Link,2026-05-05T22:33:56.449Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/anubhav-rastogi-12b778208/
Log,2026-05-05T22:33:56.442Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/palonet/ | today — birthday,
Log,2026-05-05T22:33:56.433Z,warn,,[Diag] no msg btn | card btns: (none),
Log,2026-05-05T22:33:43.439Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/nielsen-castelo-d-07ab3923/ | today — birthday,
Log,2026-05-05T22:33:43.433Z,warn,,[Diag] no msg btn | card btns: (none),
Log,2026-05-05T22:33:33.441Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/claudia-napolitano-32b29223/ | today — birthday,
Log,2026-05-05T22:33:33.434Z,warn,,[Diag] no msg btn | card btns: (none),
Log,2026-05-05T22:33:23.441Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/anapaulohrbusinesspartner/ | today — birthday,
Log,2026-05-05T22:33:23.434Z,warn,,[Diag] no msg btn | card btns: (none),
Log,2026-05-05T22:33:14.437Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/mariliaisabelly/ | today — birthday,
Log,2026-05-05T22:33:14.431Z,warn,,[Diag] no msg btn | card btns: (none),
Log,2026-05-05T22:33:04.444Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/jos%C3%A9-s%C3%A9rgio-medeiros-junior-978b74168/ | today — birthday,
Log,2026-05-05T22:33:04.436Z,warn,,"[Diag] no msg btn | card btns: ""Skip to main content"" aria="""" | """" aria=""Close jump menu"" | ""Home"" aria=""Home, 1 new notification"" | ""Me"" aria="""" | ""For Business"" aria=""For Business"" | """" aria=""Dismiss"" | ""Why am I seeing this ad?Manage"" aria=""Why am I seeing this ad?"" | ""Hide or report this adI don’t "" aria=""Hide or report this ad"" | """" aria=""Dismiss"" | ""Report this ad"" aria="""" | ""Submit"" aria=""""",
Link,2026-05-05T22:32:56.452Z,link-discovered,recruiter-search,there,https://www.linkedin.com/in/nikhil-pansuriya-809329234/
Log,2026-05-05T22:32:56.442Z,info,recruiter-prospector,↷ https://www.linkedin.com/in/apurva0109/ — no connect button (viewed),
Log,2026-05-05T22:32:56.428Z,warn,recruiter-prospector,[Diag] no connect btn found | card buttons: none,
Log,2026-05-05T22:32:52.618Z,info,,▶ relationship-builder started | https://www.linkedin.com/mynetwork/catch-up/birthday/,
Log,2026-05-05T22:32:48.528Z,info,,Step 4/6 — Building relationships (birthdays + anniversaries + job changes)…,
Log,2026-05-05T22:32:48.513Z,success,,[PostQueue] Queue flushed. 3 post(s) processed.,
Log,2026-05-05T22:32:48.496Z,success,,[PostQueue] Done: https://www.linkedin.com/posts/gabriel-saturi_backend-distributedsystems-architecture-share-7457052634265407488-tLcm/,
Log,2026-05-05T22:32:48.460Z,success,post-engager,✓ commentSinglePost: commented on https://www.linkedin.com/in/gabriel-saturi,
Log,2026-05-05T22:32:48.452Z,info,post-engager,🔗 link registered | commented | https://www.linkedin.com/in/gabriel-saturi,
Post,2026-05-05T22:32:48.433Z,comment,,urn:li:activity:7457066522742538241,https://www.linkedin.com/in/gabriel-saturi
Link,2026-05-05T22:32:48.433Z,link-discovered,commented,,https://www.linkedin.com/in/gabriel-saturi
Log,2026-05-05T22:32:35.425Z,info,post-engager,"💬 typing comment: ""Interested — Let's connect! https://wesleyzilva.github.io/po...""",
Log,2026-05-05T22:32:07.317Z,info,post-engager,▶ post-engager COMMENT_SINGLE | url=https://www.linkedin.com/posts/gabriel-saturi_backend-distributedsystems-architecture-share-7457052634265407488-tLcm/,
Log,2026-05-05T22:32:01.518Z,info,,[PostQueue] Commenting on: https://www.linkedin.com/posts/gabriel-saturi_backend-distributedsystems-architecture-share-7457052634265407488-tLcm/,
Log,2026-05-05T22:32:01.500Z,success,,[PostQueue] Done: https://www.linkedin.com/posts/tales-habib_recently-i-started-using-git-worktree-share-7457077215042863104-z_1X/,
Log,2026-05-05T22:32:01.459Z,success,post-engager,✓ commentSinglePost: commented on https://www.linkedin.com/in/tales-habib,
Log,2026-05-05T22:32:01.447Z,info,post-engager,🔗 link registered | commented | https://www.linkedin.com/in/tales-habib,
