Category,Date,Type,Name,Detail,URL
Log,2026-05-05T11:26:27.458Z,success,,Daily routine complete. Cap used: 15. Window: US_EU.,
Log,2026-05-05T11:26:27.433Z,info,follow-up-sender,■ follow-up-sender DONE | no candidates ready,
Log,2026-05-05T11:26:27.430Z,info,follow-up-sender,📬 follow-up candidates: 0,
Log,2026-05-05T11:26:21.656Z,info,follow-up-sender,▶ follow-up-sender started | https://www.linkedin.com/messaging/thread/2-MWY5ODUwMDEtY2FiYy00ZGY2LWE1NGYtYTBkYmE4MTBlNDEyXzEwMA==/,
Log,2026-05-05T11:26:17.470Z,info,,Step 6/6 — Sending follow-up messages to accepted connections (≥24h)…,
Log,2026-05-05T11:26:17.442Z,success,,"Auto-CSV export complete — 25 links, 0 accepted, 0 emails, 138 log entries → Downloads/link_ssi/output/",
Log,2026-05-05T11:26:17.433Z,success,connection-tracker,■ connection-tracker DONE | +0 accepted | total: 0/0 (0%),
Log,2026-05-05T11:26:17.430Z,info,connection-tracker,📋 pending invitations on page: 0,
Log,2026-05-05T11:26:03.344Z,info,connection-tracker,▶ connection-tracker started | https://www.linkedin.com/mynetwork/invitation-manager/sent/,
Log,2026-05-05T11:25:59.541Z,info,,Step 5/6 — Tracking accepted connections…,
Log,2026-05-05T11:25:59.518Z,warn,,[relationship-builder] timed out after 90 s — continuing sequence,
Log,2026-05-05T11:25:56.435Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/kathleen-fernandes/ | Santander Brasil — new_job,
Log,2026-05-05T11:25:56.431Z,warn,,"[Diag] no msg btn | card btns: """" aria=""Open reactions menu""",
Log,2026-05-05T11:25:20.429Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/rodrigoarnaut/en/ | Mileto Tecnologia S/A — new_job,
Log,2026-05-05T11:25:20.426Z,warn,,"[Diag] no msg btn | card btns: """" aria=""Open reactions menu""",
Log,2026-05-05T11:25:14.619Z,warn,,[relationship-builder] content script did not respond after 15 retries — skipping,
Log,2026-05-05T11:25:11.425Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/lucasbalves/ | Tata Consultancy Services — new_job,
Log,2026-05-05T11:25:11.423Z,warn,,"[Diag] no msg btn | card btns: """" aria=""Open reactions menu""",
Log,2026-05-05T11:25:01.431Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/dirceua/ | DAJ Consultoria Ltda — new_job,
Log,2026-05-05T11:25:01.425Z,warn,,"[Diag] no msg btn | card btns: """" aria=""Open reactions menu""",
Log,2026-05-05T11:24:52.434Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/jennifer-hamid-18906a6a/ | Serasa Experian — new_job,
Log,2026-05-05T11:24:52.432Z,warn,,"[Diag] no msg btn | card btns: """" aria=""Open reactions menu""",
Log,2026-05-05T11:24:42.426Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/lucasfcneto/ | Yara International — new_job,
Log,2026-05-05T11:24:42.421Z,warn,,"[Diag] no msg btn | card btns: ""Skip to main content"" aria="""" | """" aria=""Close jump menu"" | ""Home"" aria=""Home, 1 new notification"" | ""Me"" aria="""" | ""For Business"" aria=""For Business"" | """" aria=""Dismiss"" | ""Why am I seeing this ad?Manage"" aria=""Why am I seeing this ad?"" | ""Hide or report this adI don’t "" aria=""Hide or report this ad"" | """" aria=""Dismiss"" | ""Report this ad"" aria="""" | ""Submit"" aria="""" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu""",
Log,2026-05-05T11:24:33.732Z,info,,▶ relationship-builder started | https://www.linkedin.com/mynetwork/catch-up/job_changes/,
Log,2026-05-05T11:24:29.488Z,warn,,[relationship-builder] timed out after 90 s — continuing sequence,
Log,2026-05-05T11:23:52.432Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/felipeveronesi/ | Axihum Fertilizantes — anniversary,
Log,2026-05-05T11:23:52.430Z,warn,,"[Diag] no msg btn | card btns: """" aria=""Open reactions menu""",
Log,2026-05-05T11:23:44.593Z,warn,,[relationship-builder] content script did not respond after 15 retries — skipping,
Log,2026-05-05T11:23:41.431Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/nathalia-villani-821b76150/ | Faber-Castell Brasil — anniversary,
Log,2026-05-05T11:23:41.429Z,warn,,"[Diag] no msg btn | card btns: """" aria=""Open reactions menu""",
Log,2026-05-05T11:23:33.436Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/rubens-bardelli-jr-a6ab5b2/ | Secretaria da Fazenda do RS — anniversary,
Log,2026-05-05T11:23:33.434Z,warn,,"[Diag] no msg btn | card btns: """" aria=""Open reactions menu""",
Log,2026-05-05T11:23:23.429Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/bruno-sahb/ | Stefanini Brasil — anniversary,
Log,2026-05-05T11:23:23.427Z,warn,,"[Diag] no msg btn | card btns: """" aria=""Open reactions menu""",
Log,2026-05-05T11:23:14.425Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/ademir-souza-98587014/ | Toyota do Brasil — anniversary,
